,S&P500,WML,value_factor
2015-09-08,2.508305333455229,0.7,2.53
2015-09-09,-1.3897560450837034,0.27,-1.28
2015-09-10,0.5277955033964158,0.3,0.49
2015-09-11,0.4487043331167642,1.24,0.57
2015-09-14,-0.40896559494183166,0.39,-0.41
2015-09-15,1.2831311668480234,-0.14,1.16
2015-09-16,0.8705414463438973,-1.5,0.79
2015-09-17,-0.2561059609232319,1.01,-0.11
2015-09-18,-1.6164165808483653,0.96,-1.42
2015-09-21,0.4565783909129196,-0.26,0.43
2015-09-22,-1.2318429542511902,0.34,-1.33
2015-09-23,-0.20486426492922577,1.66,-0.32
2015-09-24,-0.3362984570741371,-0.59,-0.41
2015-09-25,-0.046579307159448816,-0.92,-0.07
2015-09-28,-2.5666090316902848,-1.07,-2.68
2015-09-29,0.12328530985949457,-0.62,-0.22
2015-09-30,1.9075555652102023,0.88,1.93
2015-10-01,0.19738842324116898,0.86,0.1
2015-10-02,1.4315289254205485,-0.92,1.34
2015-10-05,1.8289841072045911,-1.79,1.68
2015-10-06,-0.35882362417534436,-2.58,-0.35
2015-10-07,0.803563358440328,-0.44,0.87
2015-10-08,0.8818435632298987,-1.26,0.86
2015-10-09,0.07251113576553483,0.31,0.29
2015-10-12,0.1275477063694751,1.4,0.05
2015-10-13,-0.68254241800043,-0.06,-0.75
2015-10-14,-0.4716274113391021,-0.84,-0.79
2015-10-15,1.4852773562122905,0.86,1.16
2015-10-16,0.4570474276163921,0.9,0.29
2015-10-19,0.02705456193015276,1.16,0.12
2015-10-20,-0.14210900306260651,-1.37,-0.13
2015-10-21,-0.5825415425425594,0.23,-0.59
2015-10-22,1.662757188476459,-0.77,1.77
2015-10-23,1.1030344256396656,0.83,0.96
2015-10-26,-0.19131003481598616,1.49,-0.24
2015-10-27,-0.25541185091011104,1.29,-0.57
2015-10-28,1.1840033238402536,-0.32,1.21
2015-10-29,-0.04497744186006742,-0.47,0.12
2015-10-30,-0.48098771534879675,-0.62,-0.33
2015-11-02,1.1873817294504811,-0.3,0.92
2015-11-03,0.27280672352485635,-0.91,0.19
2015-11-04,-0.35453670089111977,0.64,-0.27
2015-11-05,-0.11321484144598778,0.75,-0.19
2015-11-06,-0.03476215986429172,0.52,-0.08
2015-11-09,-0.9822729364192947,0.17,-0.93
2015-11-10,0.1510595157354351,0.8,-0.19
2015-11-11,-0.3228085954698269,0.95,-0.38
2015-11-12,-1.3990375421686752,0.5,-1.31
2015-11-13,-1.120736488072337,-0.54,-1.33
2015-11-16,1.4903265095486384,-0.63,1.28
2015-11-17,-0.1339379248400477,0.73,0.06
2015-11-18,1.6162451938893374,-0.09,1.72
2015-11-19,-0.11231092218188907,-0.2,0.23
2015-11-20,0.3810195863092179,0.87,0.45
2015-11-23,-0.12348607802712369,0.35,0.04
2015-11-24,0.12219961240418323,-0.83,0.01
2015-11-25,-0.01291325683376043,0.13,0.14
2015-11-27,0.05936175686118925,0.62,0.05
2015-11-30,-0.46409971261862787,-0.75,-0.51
2015-12-01,1.0680573511899096,0.23,0.73
2015-12-02,-1.0995693149291956,0.67,-0.98
